Feature,Classification
person_id,Given
loan_id,Given
education_level,Protected
loan_purpose,Given
person_age,Protected
total_experience_months,Derived
number_of_jobs_switched,Given
person_emp_exp_months,Given
person_income_annual_inr,Derived
application_date,Given
loan_amount_inr,Given
loan_int_rate,Given
loan_tenure_years,Given
credit_score,Given
credit_utilization_ratio,Derived
number_of_open_credit_lines,Given
number_of_hard_inquiries,Given
months_since_last_delinquency,Given
number_of_public_records,Given
previous_loan_defaults_on_file,Given
co_applicant_income,Given
co_applicant_credit_score,Given
person_gender,Protected
marital_status,Protected
geographic_region,Protected
credit_approved,Given
