feature,tag,raw_tag,used_in_training
person_id,given,given,True
education_level,protected,protected,False
person_age,protected,protected,False
person_emp_exp_months,given,given,True
number_of_jobs_switched,given,given,True
total_experience_months,derived,derived,True
avg_tenure_months,given,given,True
person_income_monthly_inr,given,given,True
person_income_annual_inr,derived,derived,True
currency,given,given,True
loan_purpose,given,given,True
loan_amount_inr,given,given,True
credit_utilization_ratio,derived,derived,True
loan_id,given,given,True
person_gender,protected,protected,False
marital_status,protected,protected,False
loan_int_rate,given,given,True
credit_score,given,given,True
previous_loan_defaults_on_file,given,given,True
number_of_open_credit_lines,given,given,True
number_of_hard_inquiries,given,given,True
months_since_last_delinquency,given,given,True
number_of_public_records,given,given,True
co_applicant_income,given,given,True
co_applicant_credit_score,given,given,True
application_date,given,given,True
geographic_region,protected,protected,False
loan_tenure_years,given,given,True
